zone_id,P_i,is_vulnerable,in_model_sample,geometry_wkt
44,2.0,False,False,"POLYGON ((687218.736384 7056347.96012, 687199.730173 7056547.235251, 687399.295832 7056566.397805, 687418.301573 7056367.122458, 687218.736384 7056347.96012))"
45,7.0,False,False,"POLYGON ((687437.306856 7056167.847507, 687418.301573 7056367.122458, 687617.866735 7056386.28425, 687636.871547 7056187.009084, 687437.306856 7056167.847507))"
46,22.0,False,False,"POLYGON ((687418.301573 7056367.122458, 687399.295832 7056566.397805, 687598.861465 7056585.559813, 687617.866735 7056386.28425, 687418.301573 7056367.122458))"
47,2.0,False,False,"POLYGON ((687617.866735 7056386.28425, 687598.861465 7056585.559813, 687798.42707 7056604.721276, 687817.43187 7056405.445497, 687617.866735 7056386.28425))"
48,10.0,False,False,"POLYGON ((687636.871547 7056187.009084, 687617.866735 7056386.28425, 687817.43187 7056405.445497, 687836.436211 7056206.170115, 687636.871547 7056187.009084))"
49,3.0,False,False,"POLYGON ((687456.311679 7055968.572952, 687437.306856 7056167.847507, 687636.871547 7056187.009084, 687655.8759 7055987.734313, 687456.311679 7055968.572952))"
50,36.0,False,False,"POLYGON ((687655.8759 7055987.734313, 687636.871547 7056187.009084, 687836.436211 7056206.170115, 687855.440094 7056006.895129, 687655.8759 7055987.734313))"
51,6.0,False,False,"POLYGON ((687836.436211 7056206.170115, 687817.43187 7056405.445497, 688016.996978 7056424.606199, 688036.000849 7056225.330601, 687836.436211 7056206.170115))"
52,4.0,False,False,"POLYGON ((688036.000849 7056225.330601, 688016.996978 7056424.606199, 688216.562059 7056443.766355, 688235.565459 7056244.490542, 688036.000849 7056225.330601))"
53,19.0,False,False,"POLYGON ((688055.004261 7056026.055399, 688036.000849 7056225.330601, 688235.565459 7056244.490542, 688254.568401 7056045.215124, 688055.004261 7056026.055399))"
54,72.5,False,False,"POLYGON ((688074.007216 7055826.780593, 688055.004261 7056026.055399, 688254.568401 7056045.215124, 688273.570886 7055845.940103, 688074.007216 7055826.780593))"
55,39.0,False,False,"POLYGON ((687874.443519 7055807.620538, 687855.440094 7056006.895129, 688055.004261 7056026.055399, 688074.007216 7055826.780593, 687874.443519 7055807.620538))"
56,69.5,False,False,"POLYGON ((687893.446486 7055608.346342, 687874.443519 7055807.620538, 688074.007216 7055826.780593, 688093.009713 7055627.506182, 687893.446486 7055608.346342))"
57,68.0,False,False,"POLYGON ((687912.448995 7055409.072541, 687893.446486 7055608.346342, 688093.009713 7055627.506182, 688112.011751 7055428.232166, 687912.448995 7055409.072541))"
58,6.0,False,False,"POLYGON ((688112.011751 7055428.232166, 688093.009713 7055627.506182, 688292.572912 7055646.665476, 688311.574481 7055447.391245, 688112.011751 7055428.232166))"
59,91.5,False,False,"POLYGON ((688093.009713 7055627.506182, 688074.007216 7055826.780593, 688273.570886 7055845.940103, 688292.572912 7055646.665476, 688093.009713 7055627.506182))"
60,9.0,False,False,"POLYGON ((688131.013332 7055228.958545, 688112.011751 7055428.232166, 688311.574481 7055447.391245, 688330.575592 7055248.117408, 688131.013332 7055228.958545))"
61,2.0,False,False,"POLYGON ((688150.014455 7055029.685318, 688131.013332 7055228.958545, 688330.575592 7055248.117408, 688349.576246 7055048.843967, 688150.014455 7055029.685318))"
62,53.0,False,False,"POLYGON ((687731.888731 7055190.639181, 687712.886211 7055389.912372, 687912.448995 7055409.072541, 687931.451045 7055209.799135, 687731.888731 7055190.639181))"
63,52.5,False,False,"POLYGON ((687532.32639 7055171.478682, 687513.3234 7055370.751657, 687712.886211 7055389.912372, 687731.888731 7055190.639181, 687532.32639 7055171.478682))"
64,96.5,False,False,"POLYGON ((687332.764021 7055152.317638, 687313.760561 7055351.590397, 687513.3234 7055370.751657, 687532.32639 7055171.478682, 687332.764021 7055152.317638))"
65,118.0,False,False,"POLYGON ((687351.767022 7054953.045273, 687332.764021 7055152.317638, 687532.32639 7055171.478682, 687551.328921 7054972.206101, 687351.767022 7054953.045273))"
